S   UID     PID    PPID  C PRI  NI   RSS    SZ WCHAN  TTY          TIME CMD
S    33   40384   23146  0  80   0  8740 55512 -      ?        00:00:00 apache2
S    33   40385   23146  0  80   0  8740 55512 -      ?        00:00:00 apache2
S     0   40386       1  0  80   0  6468  7110 -      ?        00:00:00 cupsd
S     0   40388       1  0  80   0  8268 44600 -      ?        00:00:00 cups-browsed
S     0   42557       1  0  80   0  6760  5880 -      ?        00:00:00 systemd-udevd
S   101   49102       1  0  80   0 11784  6146 -      ?        00:00:01 systemd-resolve
S     0   49106       1  0  79  -1 25372 19045 -      ?        00:01:01 systemd-journal
S   102   49196       1  0  80   0  6036 22566 -      ?        00:00:00 systemd-timesyn
S  1000   53249    2042  6  80   0 932200 1206567 poll_s ?     00:16:18 GeckoMain
S  1000   53350   53249  0  80   0 121536 611737 poll_s ?      00:00:11 Privileged Cont
S  1000   53397   53249  0  80   0 87088 604302 poll_s ?       00:00:04 WebExtensions
S  1000   53463   53249  2  80   0 377188 692170 poll_s ?      00:06:07 Web Content
S  1000   53504   53249  0  80   0 334584 777623 poll_s ?      00:01:33 Web Content
S  1000   53659   53249  0  80   0 168216 668540 poll_s ?      00:00:09 Web Content
S  1000   53684   53249  0  80   0 26252 48644 poll_s ?        00:00:00 RDD Process
S  1000   53720   53249  0  80   0 344856 696568 poll_s ?      00:00:14 Web Content
S  1000   53943   53249  0  80   0 217844 766456 poll_s ?      00:01:10 Web Content
S  1000   54141    2042  0  80   0 1108944 505369 poll_s ?     00:00:50 gedit
S  1000   54296   53249  0  80   0 26524 47853 poll_s ?        00:00:00 Socket Process
S  1000   54544    2042  1  80   0 56336 206278 poll_s ?       00:02:16 gnome-terminal-
S  1000   54690    2069  0  80   0  7796 96958 poll_s ?        00:00:00 gvfsd-network
S  1000   54705    2069  0  80   0  7008 78747 poll_s ?        00:00:00 gvfsd-dnssd
S  1000   54899   54544  0  80   0  4600  2687 do_wai pts/1    00:00:00 bash
S  1000   55063    2042  0  80   0  7600 112591 pipe_r ?       00:00:01 sd_espeak-ng
S  1000   55069    2042  0  80   0  5764 90024 pipe_r ?        00:00:01 sd_generic
S  1000   55072    2042  0  80   0  5644 90016 pipe_r ?        00:00:01 sd_dummy
S  1000   55075    2042  0  80   0  2220 39933 poll_s ?        00:00:00 speech-dispatch
S  1000   55396    2042  0  80   0 52680 215450 poll_s ?       00:00:00 gnome-calendar
I     0   55892       2  0  80   0     0     0 -      ?        00:00:00 kworker/2:2-events
I     0   56123       2  0  80   0     0     0 -      ?        00:00:00 kworker/1:0-events
S  1000   56138    2042  0  80   0 41344 117073 poll_s ?       00:00:00 seahorse
I     0   56556       2  0  80   0     0     0 -      ?        00:00:00 kworker/3:1-events
S  1000   56578    2042  0  80   0 26424 108734 poll_s ?       00:00:00 tracker-store
S  1000   56793    2042  0  80   0 46400 146780 poll_s ?       00:00:20 gnome-disks
S  1000   57329   54544  0  80   0  5568  2816 do_wai pts/0    00:00:00 bash
I     0   57402       2  0  80   0     0     0 -      ?        00:00:00 kworker/5:1-events
I     0   57464       2  0  80   0     0     0 -      ?        00:00:00 kworker/0:0-events
I     0   57495       2  0  80   0     0     0 -      ?        00:00:00 kworker/u12:2-events_unbound
I     0   57574       2  0  80   0     0     0 -      ?        00:00:00 kworker/0:1-cgroup_destroy
I     0   57605       2  0  80   0     0     0 -      ?        00:00:00 kworker/5:0-cgroup_destroy
I     0   57614       2  0  80   0     0     0 -      ?        00:00:00 kworker/4:0-cgroup_destroy
I     0   57623       2  0  80   0     0     0 -      ?        00:00:00 kworker/2:0-cgroup_destroy
I     0   57700       2  0  80   0     0     0 -      ?        00:00:00 kworker/1:1-events
I     0   57741       2  0  80   0     0     0 -      ?        00:00:00 kworker/3:2-cgroup_destroy
I     0   57742       2  0  80   0     0     0 -      ?        00:00:00 kworker/4:1-events
I     0   57743       2  0  80   0     0     0 -      ?        00:00:00 kworker/u12:1-events_power_efficient
I     0   57816       2  0  80   0     0     0 -      ?        00:00:00 kworker/u12:0-events_unbound
S  1000   57829   57329  0  80   0  4972  1570 wait_w pts/0    00:00:00 memory1
R  1000   57830   54899  0  80   0  1164  2855 -      pts/1    00:00:00 ps
